;Number of cuts;Length of X;K subsets;Neighbors;Train error;Train var. error;Train bias error;Train list errors;Test error;Test var. error;Test bias error;Test list errors
136;6;60;2;20;0.591685;5.595039999999565e-07;0.7692102706646603;[0.592433, 0.590937];0.7351464999999999;1.8339806250000192e-05;0.8573961512590023;[0.739429, 0.730864]
137;6;60;2;50;0.665464;8.43321599999978e-06;0.815754599609466;[0.66256, 0.668368];0.7505120000000001;3.2400000000064806e-10;0.8663209565028426;[0.75053, 0.750494]
138;6;60;2;100;0.711483;2.7878399999997143e-07;0.8434943516206851;[0.710955, 0.712011];0.7613075;2.5502500000008958e-09;0.8725293676717993;[0.761257, 0.761358]
139;6;60;2;200;0.738715;4.839999999999911e-08;0.8594852829455546;[0.738935, 0.738495];0.76896;1.617648399999976e-05;0.8768944198225919;[0.772982, 0.764938]
140;6;60;3;1;0.0;0.0;0.0;[0.0, 0.0, 0.0];0.6047226666666666;1.700899355555528e-05;0.7776282258721781;[0.609455, 0.605309, 0.599404]
141;6;60;3;3;0.22255466666666668;6.329136222222219e-06;0.47175029150011605;[0.225693, 0.219534, 0.222437];0.671248;5.816179999999499e-07;0.8192969049020019;[0.672321, 0.670617, 0.670806]
142;6;60;3;5;0.3542159999999999;4.491265999999954e-06;0.5951567093917365;[0.351254, 0.356093, 0.355301];0.7000966666666666;1.5988155555555507e-05;0.8367082397772302;[0.70575, 0.69716, 0.69738]
143;6;60;3;20;0.592785;2.7930026666665937e-06;0.7699235072377861;[0.592433, 0.590937, 0.594985];0.735348;1.2307742000000146e-05;0.8575171673255294;[0.739429, 0.730864, 0.735751]
144;6;60;3;50;0.6671360000000001;1.1213311999999774e-05;0.8167770728221991;[0.66256, 0.668368, 0.67048];0.7486133333333335;7.210086222222169e-06;0.8652202744082638;[0.75053, 0.750494, 0.744816]
145;6;60;3;100;0.713184;5.972657999999911e-06;0.8444986840380511;[0.710955, 0.712011, 0.716586];0.7608186666666666;4.796162222222108e-07;0.8722489249351039;[0.761257, 0.761358, 0.759841]
146;6;60;3;200;0.7412519999999999;1.2905004666666783e-05;0.8609524348042308;[0.738935, 0.738495, 0.746326];0.768404;1.1402594666666507e-05;0.8765800576132983;[0.772982, 0.764938, 0.767292]
147;6;60;4;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0];0.60461125;1.2793986187499803e-05;0.7775592942109384;[0.609455, 0.605309, 0.599404, 0.604277]
148;6;60;4;3;0.22208550000000002;5.4072042499999895e-06;0.47125374565699746;[0.225693, 0.219534, 0.222437, 0.220678];0.67150375;6.324376874999468e-07;0.8194529379789375;[0.672321, 0.670617, 0.670806, 0.672271]
